"district_en","day","case"
"Tsuen Wan","2020-07-26","24"
"Tuen Mun","2020-07-26","74"
"Yuen Long","2020-07-26","29"
"North","2020-07-26","31"
"Tai Po","2020-07-26","19"
"Sha Tin","2020-07-26","78"
"Sai Kung","2020-07-26","57"
"Islands","2020-07-26","9"
"Central & Western","2020-07-27","9"
"Wan Chai","2020-07-27","27"
"Eastern","2020-07-27","37"
"Southern","2020-07-27","16"
"Yau Tsim Mong","2020-07-27","72"
"Sham Shui Po","2020-07-27","75"
"Kowloon City","2020-07-27","65"
"Wong Tai Sin","2020-07-27","265"
"Kwun Tong","2020-07-27","103"
"Kwai Tsing","2020-07-27","51"
"Tsuen Wan","2020-07-27","26"
"Tuen Mun","2020-07-27","93"
"Yuen Long","2020-07-27","35"
"North","2020-07-27","37"
"Tai Po","2020-07-27","23"
"Sha Tin","2020-07-27","83"
"Sai Kung","2020-07-27","58"
"Islands","2020-07-27","10"
"Central & Western","2020-07-28","9"
"Wan Chai","2020-07-28","30"
"Eastern","2020-07-28","41"
"Southern","2020-07-28","18"
"Yau Tsim Mong","2020-07-28","75"
"Sham Shui Po","2020-07-28","71"
"Kowloon City","2020-07-28","68"
"Wong Tai Sin","2020-07-28","266"
"Kwun Tong","2020-07-28","118"
"Kwai Tsing","2020-07-28","57"
"Tsuen Wan","2020-07-28","26"
"Tuen Mun","2020-07-28","99"
"Yuen Long","2020-07-28","38"
"North","2020-07-28","42"
"Tai Po","2020-07-28","28"
"Sha Tin","2020-07-28","87"
"Sai Kung","2020-07-28","62"
"Islands","2020-07-28","11"
"Central & Western","2020-07-29","10"
"Wan Chai","2020-07-29","32"
"Eastern","2020-07-29","47"
"Southern","2020-07-29","19"
"Yau Tsim Mong","2020-07-29","81"
"Sham Shui Po","2020-07-29","74"
"Kowloon City","2020-07-29","75"
"Wong Tai Sin","2020-07-29","261"
"Kwun Tong","2020-07-29","119"
"Kwai Tsing","2020-07-29","63"
"Tsuen Wan","2020-07-29","27"
"Tuen Mun","2020-07-29","114"
"Yuen Long","2020-07-29","46"
"North","2020-07-29","44"
"Tai Po","2020-07-29","30"
"Sha Tin","2020-07-29","88"
"Sai Kung","2020-07-29","63"
"Islands","2020-07-29","13"
"Central & Western","2020-07-30","11"
"Wan Chai","2020-07-30","35"
"Eastern","2020-07-30","60"
"Southern","2020-07-30","21"
"Yau Tsim Mong","2020-07-30","88"
"Sham Shui Po","2020-07-30","81"
"Kowloon City","2020-07-30","90"
"Wong Tai Sin","2020-07-30","265"
"Kwun Tong","2020-07-30","136"
"Kwai Tsing","2020-07-30","71"
"Tsuen Wan","2020-07-30","32"
"Tuen Mun","2020-07-30","123"
"Yuen Long","2020-07-30","54"
"North","2020-07-30","49"
"Tai Po","2020-07-30","31"
"Sha Tin","2020-07-30","98"
"Sai Kung","2020-07-30","70"
"Islands","2020-07-30","14"
"Central & Western","2020-07-31","14"
"Wan Chai","2020-07-31","37"
"Eastern","2020-07-31","67"
"Southern","2020-07-31","23"
"Yau Tsim Mong","2020-07-31","92"
"Sham Shui Po","2020-07-31","80"
"Kowloon City","2020-07-31","97"
"Wong Tai Sin","2020-07-31","254"
"Kwun Tong","2020-07-31","149"
"Kwai Tsing","2020-07-31","79"
"Tsuen Wan","2020-07-31","33"
"Tuen Mun","2020-07-31","128"
"Yuen Long","2020-07-31","61"
"North","2020-07-31","53"
"Tai Po","2020-07-31","30"
"Sha Tin","2020-07-31","102"
"Sai Kung","2020-07-31","66"
"Islands","2020-07-31","15"
"Central & Western","2020-08-01","14"
"Wan Chai","2020-08-01","43"
"Eastern","2020-08-01","74"
"Southern","2020-08-01","26"
"Yau Tsim Mong","2020-08-01","99"
"Sham Shui Po","2020-08-01","82"
"Kowloon City","2020-08-01","106"
"Wong Tai Sin","2020-08-01","251"
"Kwun Tong","2020-08-01","158"
"Kwai Tsing","2020-08-01","99"
"Tsuen Wan","2020-08-01","40"
"Tuen Mun","2020-08-01","139"
"Yuen Long","2020-08-01","70"
"North","2020-08-01","64"
"Tai Po","2020-08-01","34"
"Sha Tin","2020-08-01","104"
"Sai Kung","2020-08-01","68"
"Islands","2020-08-01","15"
"Central & Western","2020-08-02","16"
"Wan Chai","2020-08-02","39"
"Eastern","2020-08-02","75"
"Southern","2020-08-02","24"
"Yau Tsim Mong","2020-08-02","88"
"Sham Shui Po","2020-08-02","87"
"Kowloon City","2020-08-02","106"
"Wong Tai Sin","2020-08-02","234"
"Kwun Tong","2020-08-02","166"
"Kwai Tsing","2020-08-02","106"
"Tsuen Wan","2020-08-02","41"
"Tuen Mun","2020-08-02","138"
"Yuen Long","2020-08-02","81"
"North","2020-08-02","64"
"Tai Po","2020-08-02","37"
"Sha Tin","2020-08-02","121"
"Sai Kung","2020-08-02","70"
"Islands","2020-08-02","17"
"Central & Western","2020-08-03","17"
"Wan Chai","2020-08-03","38"
"Eastern","2020-08-03","75"
"Southern","2020-08-03","23"
"Yau Tsim Mong","2020-08-03","85"
"Sham Shui Po","2020-08-03","93"
"Kowloon City","2020-08-03","109"
"Wong Tai Sin","2020-08-03","219"
"Kwun Tong","2020-08-03","158"
"Kwai Tsing","2020-08-03","114"
"Tsuen Wan","2020-08-03","44"
"Tuen Mun","2020-08-03","139"
"Yuen Long","2020-08-03","85"
"North","2020-08-03","66"
"Tai Po","2020-08-03","37"
"Sha Tin","2020-08-03","123"
"Sai Kung","2020-08-03","72"
"Islands","2020-08-03","16"
"Central & Western","2020-08-04","19"
"Wan Chai","2020-08-04","39"
"Eastern","2020-08-04","75"
"Southern","2020-08-04","21"
"Yau Tsim Mong","2020-08-04","87"
"Sham Shui Po","2020-08-04","93"
"Kowloon City","2020-08-04","112"
"Wong Tai Sin","2020-08-04","211"
"Kwun Tong","2020-08-04","164"
"Kwai Tsing","2020-08-04","121"
"Tsuen Wan","2020-08-04","42"
"Tuen Mun","2020-08-04","139"
"Yuen Long","2020-08-04","86"
"North","2020-08-04","65"
"Tai Po","2020-08-04","38"
"Sha Tin","2020-08-04","124"
"Sai Kung","2020-08-04","73"
"Islands","2020-08-04","16"
"Central & Western","2020-08-05","20"
"Wan Chai","2020-08-05","40"
"Eastern","2020-08-05","72"
"Southern","2020-08-05","22"
"Yau Tsim Mong","2020-08-05","88"
"Sham Shui Po","2020-08-05","101"
"Kowloon City","2020-08-05","117"
"Wong Tai Sin","2020-08-05","208"
"Kwun Tong","2020-08-05","162"
"Kwai Tsing","2020-08-05","128"
"Tsuen Wan","2020-08-05","43"
"Tuen Mun","2020-08-05","144"
"Yuen Long","2020-08-05","96"
"North","2020-08-05","65"
"Tai Po","2020-08-05","34"
"Sha Tin","2020-08-05","126"
"Sai Kung","2020-08-05","73"
"Islands","2020-08-05","13"
"Central & Western","2020-08-06","21"
"Wan Chai","2020-08-06","41"
"Eastern","2020-08-06","77"
"Southern","2020-08-06","23"
"Yau Tsim Mong","2020-08-06","86"
"Sham Shui Po","2020-08-06","104"
"Kowloon City","2020-08-06","117"
"Wong Tai Sin","2020-08-06","198"
"Kwun Tong","2020-08-06","160"
"Kwai Tsing","2020-08-06","125"
"Tsuen Wan","2020-08-06","40"
"Tuen Mun","2020-08-06","146"
"Yuen Long","2020-08-06","101"
"North","2020-08-06","64"
"Tai Po","2020-08-06","33"
"Sha Tin","2020-08-06","123"
"Sai Kung","2020-08-06","73"
"Islands","2020-08-06","11"
"Central & Western","2020-08-07","23"
"Wan Chai","2020-08-07","38"
"Eastern","2020-08-07","76"
"Southern","2020-08-07","25"
"Yau Tsim Mong","2020-08-07","72"
"Sham Shui Po","2020-08-07","109"
"Kowloon City","2020-08-07","111"
"Wong Tai Sin","2020-08-07","186"
"Kwun Tong","2020-08-07","166"
"Kwai Tsing","2020-08-07","129"
"Tsuen Wan","2020-08-07","39"
"Tuen Mun","2020-08-07","137"
"Yuen Long","2020-08-07","108"
"North","2020-08-07","60"
"Tai Po","2020-08-07","40"
"Sha Tin","2020-08-07","116"
"Sai Kung","2020-08-07","77"
"Islands","2020-08-07","11"
"Central & Western","2020-08-08","22"
"Wan Chai","2020-08-08","37"
"Eastern","2020-08-08","76"
"Southern","2020-08-08","25"
"Yau Tsim Mong","2020-08-08","73"
"Sham Shui Po","2020-08-08","111"
"Kowloon City","2020-08-08","108"
"Wong Tai Sin","2020-08-08","171"
"Kwun Tong","2020-08-08","161"
"Kwai Tsing","2020-08-08","127"
"Tsuen Wan","2020-08-08","40"
"Tuen Mun","2020-08-08","134"
"Yuen Long","2020-08-08","109"
"North","2020-08-08","63"
"Tai Po","2020-08-08","38"
"Sha Tin","2020-08-08","108"
"Sai Kung","2020-08-08","79"
"Islands","2020-08-08","12"
"Central & Western","2020-08-09","22"
"Wan Chai","2020-08-09","31"
"Eastern","2020-08-09","75"
"Southern","2020-08-09","25"
"Yau Tsim Mong","2020-08-09","67"
"Sham Shui Po","2020-08-09","108"
"Kowloon City","2020-08-09","112"
"Wong Tai Sin","2020-08-09","158"
"Kwun Tong","2020-08-09","154"
"Kwai Tsing","2020-08-09","123"
"Tsuen Wan","2020-08-09","45"
"Tuen Mun","2020-08-09","117"
"Yuen Long","2020-08-09","123"
"North","2020-08-09","64"
"Tai Po","2020-08-09","38"
"Sha Tin","2020-08-09","103"
"Sai Kung","2020-08-09","77"
"Islands","2020-08-09","15"
"Central & Western","2020-08-10","24"
"Wan Chai","2020-08-10","28"
"Eastern","2020-08-10","77"
"Southern","2020-08-10","23"
"Yau Tsim Mong","2020-08-10","67"
"Sham Shui Po","2020-08-10","108"
"Kowloon City","2020-08-10","112"
"Wong Tai Sin","2020-08-10","158"
"Kwun Tong","2020-08-10","144"
"Kwai Tsing","2020-08-10","119"
"Tsuen Wan","2020-08-10","42"
"Tuen Mun","2020-08-10","108"
"Yuen Long","2020-08-10","125"
"North","2020-08-10","60"
"Tai Po","2020-08-10","39"
"Sha Tin","2020-08-10","95"
"Sai Kung","2020-08-10","72"
"Islands","2020-08-10","18"
"Central & Western","2020-08-11","21"
"Wan Chai","2020-08-11","26"
"Eastern","2020-08-11","71"
"Southern","2020-08-11","20"
"Yau Tsim Mong","2020-08-11","67"
"Sham Shui Po","2020-08-11","100"
"Kowloon City","2020-08-11","112"
"Wong Tai Sin","2020-08-11","141"
"Kwun Tong","2020-08-11","134"
"Kwai Tsing","2020-08-11","116"
"Tsuen Wan","2020-08-11","41"
"Tuen Mun","2020-08-11","91"
"Yuen Long","2020-08-11","122"
"North","2020-08-11","54"
"Tai Po","2020-08-11","35"
"Sha Tin","2020-08-11","90"
"Sai Kung","2020-08-11","65"
"Islands","2020-08-11","17"
"Central & Western","2020-08-12","22"
"Wan Chai","2020-08-12","24"
"Eastern","2020-08-12","69"
"Southern","2020-08-12","18"
"Yau Tsim Mong","2020-08-12","65"
"Sham Shui Po","2020-08-12","106"
"Kowloon City","2020-08-12","114"
"Wong Tai Sin","2020-08-12","127"
"Kwun Tong","2020-08-12","125"
"Kwai Tsing","2020-08-12","116"
"Tsuen Wan","2020-08-12","41"
"Tuen Mun","2020-08-12","89"
"Yuen Long","2020-08-12","131"
"North","2020-08-12","54"
"Tai Po","2020-08-12","31"
"Sha Tin","2020-08-12","86"
"Sai Kung","2020-08-12","63"
"Islands","2020-08-12","16"
"Central & Western","2020-08-13","23"
"Wan Chai","2020-08-13","21"
"Eastern","2020-08-13","65"
"Southern","2020-08-13","17"
"Yau Tsim Mong","2020-08-13","63"
"Sham Shui Po","2020-08-13","110"
"Kowloon City","2020-08-13","114"
"Wong Tai Sin","2020-08-13","114"
"Kwun Tong","2020-08-13","123"
"Kwai Tsing","2020-08-13","113"
"Tsuen Wan","2020-08-13","42"
"Tuen Mun","2020-08-13","73"
"Yuen Long","2020-08-13","132"
"North","2020-08-13","55"
"Tai Po","2020-08-13","30"
"Sha Tin","2020-08-13","91"
"Sai Kung","2020-08-13","63"
"Islands","2020-08-13","15"
"Central & Western","2020-08-14","22"
"Wan Chai","2020-08-14","18"
"Eastern","2020-08-14","53"
"Southern","2020-08-14","17"
"Yau Tsim Mong","2020-08-14","61"
"Sham Shui Po","2020-08-14","110"
"Kowloon City","2020-08-14","99"
"Wong Tai Sin","2020-08-14","111"
"Kwun Tong","2020-08-14","103"
"Kwai Tsing","2020-08-14","110"
"Tsuen Wan","2020-08-14","38"
"Tuen Mun","2020-08-14","64"
"Yuen Long","2020-08-14","130"
"North","2020-08-14","51"
"Tai Po","2020-08-14","31"
"Sha Tin","2020-08-14","81"
"Sai Kung","2020-08-14","56"
"Islands","2020-08-14","15"
"Central & Western","2020-08-15","20"
"Wan Chai","2020-08-15","18"
"Eastern","2020-08-15","48"
"Southern","2020-08-15","15"
"Yau Tsim Mong","2020-08-15","60"
"Sham Shui Po","2020-08-15","106"
"Kowloon City","2020-08-15","89"
"Wong Tai Sin","2020-08-15","104"
"Kwun Tong","2020-08-15","93"
"Kwai Tsing","2020-08-15","100"
"Tsuen Wan","2020-08-15","34"
"Tuen Mun","2020-08-15","62"
"Yuen Long","2020-08-15","125"
"North","2020-08-15","48"
"Tai Po","2020-08-15","31"
"Sha Tin","2020-08-15","75"
"Sai Kung","2020-08-15","54"
"Islands","2020-08-15","14"
"Central & Western","2020-08-16","19"
"Wan Chai","2020-08-16","15"
"Eastern","2020-08-16","46"
"Southern","2020-08-16","14"
"Yau Tsim Mong","2020-08-16","57"
"Sham Shui Po","2020-08-16","108"
"Kowloon City","2020-08-16","86"
"Wong Tai Sin","2020-08-16","92"
"Kwun Tong","2020-08-16","79"
"Kwai Tsing","2020-08-16","94"
"Tsuen Wan","2020-08-16","31"
"Tuen Mun","2020-08-16","68"
"Yuen Long","2020-08-16","122"
"North","2020-08-16","40"
"Tai Po","2020-08-16","30"
"Sha Tin","2020-08-16","76"
"Sai Kung","2020-08-16","53"
"Islands","2020-08-16","15"
"Central & Western","2020-08-17","18"
"Wan Chai","2020-08-17","15"
"Eastern","2020-08-17","42"
"Southern","2020-08-17","14"
"Yau Tsim Mong","2020-08-17","55"
"Sham Shui Po","2020-08-17","103"
"Kowloon City","2020-08-17","79"
"Wong Tai Sin","2020-08-17","78"
"Kwun Tong","2020-08-17","73"
"Kwai Tsing","2020-08-17","85"
"Tsuen Wan","2020-08-17","25"
"Tuen Mun","2020-08-17","64"
"Yuen Long","2020-08-17","116"
"North","2020-08-17","41"
"Tai Po","2020-08-17","26"
"Sha Tin","2020-08-17","57"
"Sai Kung","2020-08-17","50"
"Islands","2020-08-17","14"
"Central & Western","2020-08-18","17"
"Wan Chai","2020-08-18","16"
"Eastern","2020-08-18","41"
"Southern","2020-08-18","16"
"Yau Tsim Mong","2020-08-18","53"
"Sham Shui Po","2020-08-18","93"
"Kowloon City","2020-08-18","77"
"Wong Tai Sin","2020-08-18","78"
"Kwun Tong","2020-08-18","67"
"Kwai Tsing","2020-08-18","71"
"Tsuen Wan","2020-08-18","24"
"Tuen Mun","2020-08-18","63"
"Yuen Long","2020-08-18","116"
"North","2020-08-18","39"
"Tai Po","2020-08-18","25"
"Sha Tin","2020-08-18","53"
"Sai Kung","2020-08-18","44"
"Islands","2020-08-18","14"
"Central & Western","2020-08-19","13"
"Wan Chai","2020-08-19","12"
"Eastern","2020-08-19","39"
"Southern","2020-08-19","16"
"Yau Tsim Mong","2020-08-19","55"
"Sham Shui Po","2020-08-19","89"
"Kowloon City","2020-08-19","69"
"Wong Tai Sin","2020-08-19","69"
"Kwun Tong","2020-08-19","59"
"Kwai Tsing","2020-08-19","63"
"Tsuen Wan","2020-08-19","23"
"Tuen Mun","2020-08-19","64"
"Yuen Long","2020-08-19","113"
"North","2020-08-19","38"
"Tai Po","2020-08-19","24"
"Sha Tin","2020-08-19","48"
"Sai Kung","2020-08-19","42"
"Islands","2020-08-19","13"
"Central & Western","2020-08-20","12"
"Wan Chai","2020-08-20","10"
"Eastern","2020-08-20","37"
"Southern","2020-08-20","14"
"Yau Tsim Mong","2020-08-20","51"
"Sham Shui Po","2020-08-20","82"
"Kowloon City","2020-08-20","64"
"Wong Tai Sin","2020-08-20","62"
"Kwun Tong","2020-08-20","52"
"Kwai Tsing","2020-08-20","54"
"Tsuen Wan","2020-08-20","22"
"Tuen Mun","2020-08-20","62"
"Yuen Long","2020-08-20","104"
"North","2020-08-20","36"
"Tai Po","2020-08-20","25"
"Sha Tin","2020-08-20","46"
"Sai Kung","2020-08-20","36"
"Islands","2020-08-20","13"
"Central & Western","2020-08-21","12"
"Wan Chai","2020-08-21","8"
"Eastern","2020-08-21","30"
"Southern","2020-08-21","12"
"Yau Tsim Mong","2020-08-21","48"
"Sham Shui Po","2020-08-21","71"
"Kowloon City","2020-08-21","57"
"Wong Tai Sin","2020-08-21","50"
"Kwun Tong","2020-08-21","50"
"Kwai Tsing","2020-08-21","51"
"Tsuen Wan","2020-08-21","21"
"Tuen Mun","2020-08-21","59"
"Yuen Long","2020-08-21","97"
"North","2020-08-21","33"
"Tai Po","2020-08-21","21"
"Sha Tin","2020-08-21","47"
"Sai Kung","2020-08-21","31"
"Islands","2020-08-21","14"
"Central & Western","2020-08-22","10"
"Wan Chai","2020-08-22","8"
"Eastern","2020-08-22","31"
"Southern","2020-08-22","10"
"Yau Tsim Mong","2020-08-22","49"
"Sham Shui Po","2020-08-22","64"
"Kowloon City","2020-08-22","57"
"Wong Tai Sin","2020-08-22","44"
"Kwun Tong","2020-08-22","43"
"Kwai Tsing","2020-08-22","42"
"Tsuen Wan","2020-08-22","22"
"Tuen Mun","2020-08-22","60"
"Yuen Long","2020-08-22","88"
"North","2020-08-22","33"
"Tai Po","2020-08-22","14"
"Sha Tin","2020-08-22","43"
"Sai Kung","2020-08-22","27"
"Islands","2020-08-22","13"
"Central & Western","2020-08-23","10"
"Wan Chai","2020-08-23","7"
"Eastern","2020-08-23","29"
"Southern","2020-08-23","12"
"Yau Tsim Mong","2020-08-23","46"
"Sham Shui Po","2020-08-23","54"
"Kowloon City","2020-08-23","54"
"Wong Tai Sin","2020-08-23","42"
"Kwun Tong","2020-08-23","43"
"Kwai Tsing","2020-08-23","39"
"Tsuen Wan","2020-08-23","22"
"Tuen Mun","2020-08-23","57"
"Yuen Long","2020-08-23","84"
"North","2020-08-23","26"
"Tai Po","2020-08-23","14"
"Sha Tin","2020-08-23","42"
"Sai Kung","2020-08-23","22"
"Islands","2020-08-23","12"
"Central & Western","2020-08-24","10"
"Wan Chai","2020-08-24","7"
"Eastern","2020-08-24","29"
"Southern","2020-08-24","12"
"Yau Tsim Mong","2020-08-24","44"
"Sham Shui Po","2020-08-24","52"
"Kowloon City","2020-08-24","45"
"Wong Tai Sin","2020-08-24","40"
"Kwun Tong","2020-08-24","38"
"Kwai Tsing","2020-08-24","36"
"Tsuen Wan","2020-08-24","17"
"Tuen Mun","2020-08-24","57"
"Yuen Long","2020-08-24","72"
"North","2020-08-24","23"
"Tai Po","2020-08-24","13"
"Sha Tin","2020-08-24","37"
"Sai Kung","2020-08-24","18"
"Islands","2020-08-24","9"
"Central & Western","2020-08-25","6"
"Wan Chai","2020-08-25","7"
"Eastern","2020-08-25","26"
"Southern","2020-08-25","12"
"Yau Tsim Mong","2020-08-25","41"
"Sham Shui Po","2020-08-25","48"
"Kowloon City","2020-08-25","43"
"Wong Tai Sin","2020-08-25","29"
"Kwun Tong","2020-08-25","35"
"Kwai Tsing","2020-08-25","35"
"Tsuen Wan","2020-08-25","18"
"Tuen Mun","2020-08-25","53"
"Yuen Long","2020-08-25","68"
"North","2020-08-25","21"
"Tai Po","2020-08-25","11"
"Sha Tin","2020-08-25","35"
"Sai Kung","2020-08-25","18"
"Islands","2020-08-25","7"
"Central & Western","2020-08-26","7"
"Wan Chai","2020-08-26","7"
"Eastern","2020-08-26","27"
"Southern","2020-08-26","12"
"Yau Tsim Mong","2020-08-26","39"
"Sham Shui Po","2020-08-26","45"
"Kowloon City","2020-08-26","42"
"Wong Tai Sin","2020-08-26","28"
"Kwun Tong","2020-08-26","33"
"Kwai Tsing","2020-08-26","34"
"Tsuen Wan","2020-08-26","25"
"Tuen Mun","2020-08-26","52"
"Yuen Long","2020-08-26","66"
"North","2020-08-26","20"
"Tai Po","2020-08-26","11"
"Sha Tin","2020-08-26","34"
"Sai Kung","2020-08-26","18"
"Islands","2020-08-26","7"
"Central & Western","2020-08-27","8"
"Wan Chai","2020-08-27","7"
"Eastern","2020-08-27","25"
"Southern","2020-08-27","12"
"Yau Tsim Mong","2020-08-27","38"
"Sham Shui Po","2020-08-27","43"
"Kowloon City","2020-08-27","36"
"Wong Tai Sin","2020-08-27","23"
"Kwun Tong","2020-08-27","28"
"Kwai Tsing","2020-08-27","30"
"Tsuen Wan","2020-08-27","24"
"Tuen Mun","2020-08-27","47"
"Yuen Long","2020-08-27","56"
"North","2020-08-27","15"
"Tai Po","2020-08-27","13"
"Sha Tin","2020-08-27","32"
"Sai Kung","2020-08-27","15"
"Islands","2020-08-27","6"
"Central & Western","2020-08-28","6"
"Wan Chai","2020-08-28","7"
"Eastern","2020-08-28","23"
"Southern","2020-08-28","11"
"Yau Tsim Mong","2020-08-28","36"
"Sham Shui Po","2020-08-28","32"
"Kowloon City","2020-08-28","32"
"Wong Tai Sin","2020-08-28","20"
"Kwun Tong","2020-08-28","25"
"Kwai Tsing","2020-08-28","28"
"Tsuen Wan","2020-08-28","21"
"Tuen Mun","2020-08-28","44"
"Yuen Long","2020-08-28","48"
"North","2020-08-28","11"
"Tai Po","2020-08-28","12"
"Sha Tin","2020-08-28","25"
"Sai Kung","2020-08-28","14"
"Islands","2020-08-28","5"
"Central & Western","2020-08-29","6"
"Wan Chai","2020-08-29","7"
"Eastern","2020-08-29","23"
"Southern","2020-08-29","9"
"Yau Tsim Mong","2020-08-29","32"
"Sham Shui Po","2020-08-29","24"
"Kowloon City","2020-08-29","31"
"Wong Tai Sin","2020-08-29","15"
"Kwun Tong","2020-08-29","31"
"Kwai Tsing","2020-08-29","24"
"Tsuen Wan","2020-08-29","22"
"Tuen Mun","2020-08-29","42"
"Yuen Long","2020-08-29","47"
"North","2020-08-29","9"
"Tai Po","2020-08-29","11"
"Sha Tin","2020-08-29","24"
"Sai Kung","2020-08-29","14"
"Islands","2020-08-29","3"
"Central & Western","2020-08-30","5"
"Wan Chai","2020-08-30","5"
"Eastern","2020-08-30","20"
"Southern","2020-08-30","10"
"Yau Tsim Mong","2020-08-30","29"
"Sham Shui Po","2020-08-30","25"
"Kowloon City","2020-08-30","27"
"Wong Tai Sin","2020-08-30","12"
"Kwun Tong","2020-08-30","25"
"Kwai Tsing","2020-08-30","23"
"Tsuen Wan","2020-08-30","25"
"Tuen Mun","2020-08-30","37"
"Yuen Long","2020-08-30","47"
"North","2020-08-30","8"
"Tai Po","2020-08-30","9"
"Sha Tin","2020-08-30","20"
"Sai Kung","2020-08-30","13"
"Islands","2020-08-30","3"
"Central & Western","2020-08-31","5"
"Wan Chai","2020-08-31","5"
"Eastern","2020-08-31","16"
"Southern","2020-08-31","7"
"Yau Tsim Mong","2020-08-31","28"
"Sham Shui Po","2020-08-31","19"
"Kowloon City","2020-08-31","22"
"Wong Tai Sin","2020-08-31","9"
"Kwun Tong","2020-08-31","24"
"Kwai Tsing","2020-08-31","12"
"Tsuen Wan","2020-08-31","27"
"Tuen Mun","2020-08-31","20"
"Yuen Long","2020-08-31","44"
"North","2020-08-31","6"
"Tai Po","2020-08-31","6"
"Sha Tin","2020-08-31","15"
"Sai Kung","2020-08-31","12"
"Islands","2020-08-31","3"
"Central & Western","2020-09-01","4"
"Wan Chai","2020-09-01","5"
"Eastern","2020-09-01","16"
"Southern","2020-09-01","7"
"Yau Tsim Mong","2020-09-01","28"
"Sham Shui Po","2020-09-01","15"
"Kowloon City","2020-09-01","20"
"Wong Tai Sin","2020-09-01","8"
"Kwun Tong","2020-09-01","25"
"Kwai Tsing","2020-09-01","9"
"Tsuen Wan","2020-09-01","28"
"Tuen Mun","2020-09-01","19"
"Yuen Long","2020-09-01","40"
"North","2020-09-01","3"
"Tai Po","2020-09-01","6"
"Sha Tin","2020-09-01","14"
"Sai Kung","2020-09-01","12"
"Islands","2020-09-01","2"
"Central & Western","2020-09-02","4"
"Wan Chai","2020-09-02","4"
"Eastern","2020-09-02","14"
"Southern","2020-09-02","5"
"Yau Tsim Mong","2020-09-02","29"
"Sham Shui Po","2020-09-02","15"
"Kowloon City","2020-09-02","17"
"Wong Tai Sin","2020-09-02","5"
"Kwun Tong","2020-09-02","24"
"Kwai Tsing","2020-09-02","9"
"Tsuen Wan","2020-09-02","30"
"Tuen Mun","2020-09-02","14"
"Yuen Long","2020-09-02","33"
"North","2020-09-02","3"
"Tai Po","2020-09-02","5"
"Sha Tin","2020-09-02","10"
"Sai Kung","2020-09-02","12"
"Islands","2020-09-02","2"
"Central & Western","2020-09-03","4"
"Wan Chai","2020-09-03","3"
"Eastern","2020-09-03","14"
"Southern","2020-09-03","5"
"Yau Tsim Mong","2020-09-03","22"
"Sham Shui Po","2020-09-03","14"
"Kowloon City","2020-09-03","17"
"Wong Tai Sin","2020-09-03","6"
"Kwun Tong","2020-09-03","23"
"Kwai Tsing","2020-09-03","9"
"Tsuen Wan","2020-09-03","30"
"Tuen Mun","2020-09-03","10"
"Yuen Long","2020-09-03","33"
"North","2020-09-03","2"
"Tai Po","2020-09-03","4"
"Sha Tin","2020-09-03","8"
"Sai Kung","2020-09-03","10"
"Islands","2020-09-03","2"
"Central & Western","2020-09-04","4"
"Wan Chai","2020-09-04","3"
"Eastern","2020-09-04","15"
"Southern","2020-09-04","5"
"Yau Tsim Mong","2020-09-04","25"
"Sham Shui Po","2020-09-04","12"
"Kowloon City","2020-09-04","17"
"Wong Tai Sin","2020-09-04","6"
"Kwun Tong","2020-09-04","23"
"Kwai Tsing","2020-09-04","11"
"Tsuen Wan","2020-09-04","29"
"Tuen Mun","2020-09-04","9"
"Yuen Long","2020-09-04","31"
"North","2020-09-04","3"
"Tai Po","2020-09-04","3"
"Sha Tin","2020-09-04","5"
"Sai Kung","2020-09-04","10"
"Islands","2020-09-04","2"
"Central & Western","2020-09-05","4"
"Wan Chai","2020-09-05","1"
"Eastern","2020-09-05","15"
"Southern","2020-09-05","6"
"Yau Tsim Mong","2020-09-05","24"
"Sham Shui Po","2020-09-05","11"
"Kowloon City","2020-09-05","17"
"Wong Tai Sin","2020-09-05","7"
"Kwun Tong","2020-09-05","21"
"Kwai Tsing","2020-09-05","10"
"Tsuen Wan","2020-09-05","28"
"Tuen Mun","2020-09-05","7"
"Yuen Long","2020-09-05","30"
"North","2020-09-05","4"
"Tai Po","2020-09-05","3"
"Sha Tin","2020-09-05","3"
"Sai Kung","2020-09-05","10"
"Islands","2020-09-05","1"
"Central & Western","2020-09-06","4"
"Wan Chai","2020-09-06","2"
"Eastern","2020-09-06","13"
"Southern","2020-09-06","6"
"Yau Tsim Mong","2020-09-06","25"
"Sham Shui Po","2020-09-06","10"
"Kowloon City","2020-09-06","15"
"Wong Tai Sin","2020-09-06","8"
"Kwun Tong","2020-09-06","20"
"Kwai Tsing","2020-09-06","12"
"Tsuen Wan","2020-09-06","27"
"Tuen Mun","2020-09-06","7"
"Yuen Long","2020-09-06","29"
"North","2020-09-06","3"
"Tai Po","2020-09-06","2"
"Sha Tin","2020-09-06","2"
"Sai Kung","2020-09-06","8"
"Islands","2020-09-06","4"
"Central & Western","2020-09-07","4"
"Wan Chai","2020-09-07","2"
"Eastern","2020-09-07","11"
"Southern","2020-09-07","3"
"Yau Tsim Mong","2020-09-07","22"
"Sham Shui Po","2020-09-07","9"
"Kowloon City","2020-09-07","13"
"Wong Tai Sin","2020-09-07","8"
"Kwun Tong","2020-09-07","18"
"Kwai Tsing","2020-09-07","14"
"Tsuen Wan","2020-09-07","28"
"Tuen Mun","2020-09-07","7"
"Yuen Long","2020-09-07","24"
