"district_en","day","case"
"Kwun Tong","2020-02-11","1"
"Kwai Tsing","2020-02-11","3"
"Tsuen Wan","2020-02-11","0"
"Tuen Mun","2020-02-11","1"
"Yuen Long","2020-02-11","0"
"North","2020-02-11","1"
"Tai Po","2020-02-11","0"
"Sha Tin","2020-02-11","3"
"Sai Kung","2020-02-11","1"
"Islands","2020-02-11","0"
"Central & Western","2020-02-12","0"
"Wan Chai","2020-02-12","3"
"Eastern","2020-02-12","3"
"Southern","2020-02-12","2"
"Yau Tsim Mong","2020-02-12","4"
"Sham Shui Po","2020-02-12","0"
"Kowloon City","2020-02-12","3"
"Wong Tai Sin","2020-02-12","1"
"Kwun Tong","2020-02-12","1"
"Kwai Tsing","2020-02-12","4"
"Tsuen Wan","2020-02-12","0"
"Tuen Mun","2020-02-12","1"
"Yuen Long","2020-02-12","0"
"North","2020-02-12","1"
"Tai Po","2020-02-12","0"
"Sha Tin","2020-02-12","3"
"Sai Kung","2020-02-12","1"
"Islands","2020-02-12","0"
"Central & Western","2020-02-13","0"
"Wan Chai","2020-02-13","4"
"Eastern","2020-02-13","4"
"Southern","2020-02-13","2"
"Yau Tsim Mong","2020-02-13","2"
"Sham Shui Po","2020-02-13","0"
"Kowloon City","2020-02-13","3"
"Wong Tai Sin","2020-02-13","1"
"Kwun Tong","2020-02-13","1"
"Kwai Tsing","2020-02-13","3"
"Tsuen Wan","2020-02-13","0"
"Tuen Mun","2020-02-13","2"
"Yuen Long","2020-02-13","0"
"North","2020-02-13","1"
"Tai Po","2020-02-13","0"
"Sha Tin","2020-02-13","3"
"Sai Kung","2020-02-13","1"
"Islands","2020-02-13","0"
"Central & Western","2020-02-14","1"
"Wan Chai","2020-02-14","4"
"Eastern","2020-02-14","4"
"Southern","2020-02-14","3"
"Yau Tsim Mong","2020-02-14","1"
"Sham Shui Po","2020-02-14","0"
"Kowloon City","2020-02-14","3"
"Wong Tai Sin","2020-02-14","1"
"Kwun Tong","2020-02-14","1"
"Kwai Tsing","2020-02-14","4"
"Tsuen Wan","2020-02-14","0"
"Tuen Mun","2020-02-14","2"
"Yuen Long","2020-02-14","0"
"North","2020-02-14","1"
"Tai Po","2020-02-14","0"
"Sha Tin","2020-02-14","3"
"Sai Kung","2020-02-14","1"
"Islands","2020-02-14","0"
"Central & Western","2020-02-15","1"
"Wan Chai","2020-02-15","4"
"Eastern","2020-02-15","4"
"Southern","2020-02-15","3"
"Yau Tsim Mong","2020-02-15","1"
"Sham Shui Po","2020-02-15","0"
"Kowloon City","2020-02-15","3"
"Wong Tai Sin","2020-02-15","1"
"Kwun Tong","2020-02-15","1"
"Kwai Tsing","2020-02-15","4"
"Tsuen Wan","2020-02-15","0"
"Tuen Mun","2020-02-15","2"
"Yuen Long","2020-02-15","0"
"North","2020-02-15","1"
"Tai Po","2020-02-15","0"
"Sha Tin","2020-02-15","3"
"Sai Kung","2020-02-15","1"
"Islands","2020-02-15","0"
"Central & Western","2020-02-16","1"
"Wan Chai","2020-02-16","4"
"Eastern","2020-02-16","5"
"Southern","2020-02-16","3"
"Yau Tsim Mong","2020-02-16","0"
"Sham Shui Po","2020-02-16","0"
"Kowloon City","2020-02-16","1"
"Wong Tai Sin","2020-02-16","1"
"Kwun Tong","2020-02-16","1"
"Kwai Tsing","2020-02-16","4"
"Tsuen Wan","2020-02-16","0"
"Tuen Mun","2020-02-16","2"
"Yuen Long","2020-02-16","0"
"North","2020-02-16","1"
"Tai Po","2020-02-16","0"
"Sha Tin","2020-02-16","3"
"Sai Kung","2020-02-16","1"
"Islands","2020-02-16","0"
"Central & Western","2020-02-17","1"
"Wan Chai","2020-02-17","4"
"Eastern","2020-02-17","5"
"Southern","2020-02-17","3"
"Yau Tsim Mong","2020-02-17","0"
"Sham Shui Po","2020-02-17","0"
"Kowloon City","2020-02-17","1"
"Wong Tai Sin","2020-02-17","2"
"Kwun Tong","2020-02-17","1"
"Kwai Tsing","2020-02-17","4"
"Tsuen Wan","2020-02-17","0"
"Tuen Mun","2020-02-17","2"
"Yuen Long","2020-02-17","0"
"North","2020-02-17","1"
"Tai Po","2020-02-17","0"
"Sha Tin","2020-02-17","3"
"Sai Kung","2020-02-17","2"
"Islands","2020-02-17","0"
"Central & Western","2020-02-18","1"
"Wan Chai","2020-02-18","4"
"Eastern","2020-02-18","5"
"Southern","2020-02-18","3"
"Yau Tsim Mong","2020-02-18","0"
"Sham Shui Po","2020-02-18","0"
"Kowloon City","2020-02-18","0"
"Wong Tai Sin","2020-02-18","2"
"Kwun Tong","2020-02-18","2"
"Kwai Tsing","2020-02-18","4"
"Tsuen Wan","2020-02-18","0"
"Tuen Mun","2020-02-18","2"
"Yuen Long","2020-02-18","0"
"North","2020-02-18","1"
"Tai Po","2020-02-18","0"
"Sha Tin","2020-02-18","3"
"Sai Kung","2020-02-18","2"
"Islands","2020-02-18","0"
"Central & Western","2020-02-19","1"
"Wan Chai","2020-02-19","4"
"Eastern","2020-02-19","6"
"Southern","2020-02-19","3"
"Yau Tsim Mong","2020-02-19","0"
"Sham Shui Po","2020-02-19","0"
"Kowloon City","2020-02-19","0"
"Wong Tai Sin","2020-02-19","2"
"Kwun Tong","2020-02-19","1"
"Kwai Tsing","2020-02-19","4"
"Tsuen Wan","2020-02-19","0"
"Tuen Mun","2020-02-19","3"
"Yuen Long","2020-02-19","0"
"North","2020-02-19","1"
"Tai Po","2020-02-19","0"
"Sha Tin","2020-02-19","3"
"Sai Kung","2020-02-19","2"
"Islands","2020-02-19","0"
"Central & Western","2020-02-20","1"
"Wan Chai","2020-02-20","4"
"Eastern","2020-02-20","5"
